Kingdom,Phylum,Class,Order,Family,Genus,Sediment,,,,Water,,,,Algae,,,,,,,,,
,,,,,,DSD,GISD,PSD,CSD,DW,GIW,PW,CW,GIDd,CDd,DPa,GIPa,PPa,CPa,DSp,GISp,PSp,CSp
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Roseivirgaceae,Roseivirga,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Seonamhaeicola,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Simiduia,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,0,1,1,3,0,0,1,0,1,0,2,0,0,1,0,0,2,3
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacter,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,1,0,0,0,0,1,0,1,1,0,1,0,0,2,2,1,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,0,0,1,2,0,1,4,1,2,2,2,2,2,1,1,0,1,1
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,2,2,1,1,2,0,0,2,1,0,1,0,1,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Thaumasiovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Umboniibacter,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,0,0,2,0,0,4,1,3,1,2,3,2,1,1,3,0,3,2
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Wenyingzhuangia,1,0,1,0,0,0,0,0,1,1,1,0,1,0,2,0,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Acetivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Actibacter,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Bacteria,Actinobacteria,Actinomycetia,Streptosporangiales,Thermomonosporaceae,Actinoallomurus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Acutalibacter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,2,2,2,2,1,0,1,2,2,0,1,1,3,2,0,2,0,2
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Proteobacteria,delta/epsilon,Myxococcales,Polyangiaceae,Aetherobacter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Agathobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Albibacterium,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1
Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Algisphaera,15,5,6,11,0,0,0,1,0,1,2,1,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aliagarivorans,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Campylobacterales,Arcobacteraceae,Aliarcobacter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,5,5,3,5,0,1,1,1,4,5,4,3,4,4,4,3,5,3
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Alterococcus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,0,1,0,1,0,1,2,2,1,1,0,1,0,1,0,1,0,1
Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerotignum,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Anaerotruncus,1,1,0,1,0,1,0,0,2,0,0,1,1,2,1,0,2,1
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Aquisalinus,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ascidiimonas,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bacterioplanes,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,2,2,2,3,0,1,0,1,4,1,2,4,3,1,1,1,5,2
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bermanella,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Lacipirellulaceae,Bythopirellula,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
Bacteria,Planctomycetes,Brocadii,Brocadiales,Candidatus Brocadiaceae,Candidatus Kuenenia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,2,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Cellulosilyticum,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Cerasicoccus,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,1,0,0,1,1,1,0,1,1,1,1,0,0,1,2,1,0,2
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Chryseomicrobium,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Coraliomargarita,3,2,2,3,2,5,2,2,2,4,2,2,2,1,3,2,1,0
