#NAME,CDd1,CDd2,CDd3,GIDd1,GIDd2,GIDd3,CPa1,CPa2,CPa3,GIPa1,GIPa2,GIPa3,DPa1,DPa2,DPa3,PPa1,PPa2,PPa3,CSp1,CSp2,CSp3,GISp1,GISp2,GISp3,DSp1,DSp2,DSp3,PSp1,PSp2,PSp3
Lactucaxanthin,25844.10004,74219.03382,96746.70082,88677.79506,67787.63725,38013.21407,4538.15403,5044.699759,4423.865282,5111.315393,5799.488693,5422.000125,4985.800241,4877.251975,3730.182683,10012.31546,8986.143784,9118.494966,3221.054836,4384.761221,3760.612343,10843.27963,9401.6668,9410.223982,4773.594602,5959.155243,5306.771081,5751.674601,6503.953933,8944.28393
Leucine,2035555.453,1569312.202,1783989.983,96950.18342,140775.9765,4015.575491,92023.43881,63431.63101,37423.95728,26597.07352,28856.85505,30399.38169,316083.4529,19196.16409,54452.72883,12515920.39,11459359.88,6870684.094,44371.35768,31838.87185,23863.73001,1866273.225,1911731.367,3133105.018,766254.7424,322839.9555,612063.9174,885951.8333,87844.97488,24200.13746
Leu-Pro(Leucyl-Proline),76524.13423,105277.0952,64407.0978,19149.99138,19817.56634,593255.2819,22579.67343,25838.6789,12465.24376,44813.44564,56226.47875,42895.18236,14501.61831,13346.31626,15735.865,158094.2377,72003.04799,1043571.545,10915.79952,32600.88861,13134.8026,162582.7892,255996.4485,18528.07194,11090.85612,2440198.673,1736650.247,55949.7727,108414.652,72061.93057
L-Iditol,9778329.542,2918501.295,285132.4863,105129.8476,76778.84075,2442474.98,363167.2666,284331.1607,35633.95388,63873.28453,66131.12971,90750.33189,5312.412951,7034.864603,11879.45367,3763685.664,2494319.029,11745251.07,681002.571,273538.5328,309577.3017,17993007.98,17469139.66,12466064.31,650735.9645,563293.3972,318431.5217,1663348.114,3846648.729,603131.3576
Linamarin,430835.8851,381187.7858,181214.868,155095.3606,125146.3122,182189.1908,44272.85279,53533.28256,56544.51136,75951.97292,60444.49264,83376.09972,92452.89066,68161.61795,51677.67758,616568.085,651735.7375,595031.6936,11453.3492,20068.39118,33028.98054,758710.7379,720232.4512,459044.4184,26168.35547,119052.714,59336.20081,58833.35257,17230.13407,48182.42104
L-Indospicine,1869663.121,1394938.584,143744.8473,44313.77753,21217.02162,123295.1529,373473.3779,140674.1351,149090.8165,2202224.569,1059542.698,1635469.569,83628.03474,32554.33993,129204.0168,2562161.87,2670188.238,6964100.188,113088.5387,89647.85214,391844.3585,2376792.297,1987165.022,2139248.781,409321.8531,228124.8768,333728.0664,391051.664,517709.0599,155899.2751
L-Isoleucine,165161.809,103419.5413,49465.02884,22355.75853,23893.39232,15233.94689,7967.980914,4067.949917,12212.42795,61749.24014,18309.81578,3573.025462,9962.886755,13890.60352,23136.72247,5507291.679,4041609.205,524642.1307,172617.6511,16077.41837,33695.83249,692755.7065,804197.2385,668427.6746,103835.0449,91232.3318,96650.26467,226334.6391,394507.5748,44117.04657
Lotaustralin,15387.24547,73608.81929,5691.855578,9424.401641,3619.480402,48.35947063,1132.592686,1959.185776,192.9618794,75.16665915,167.3472166,921.8197418,717.2988596,453.7604853,285.5321383,61119.70019,53832.21909,49936.26513,998.1845736,342.5436475,834.1396999,37293.72223,35625.32759,193742.4887,2707.924037,6843.088043,5424.889832,884.714269,352.7612555,462.0145333
L-Tyrosine,501929.3121,404504.3435,279465.6211,270713.2483,294570.4881,236945.9391,112533.1391,95556.31592,49760.15648,213304.3685,179166.0964,116425.9554,301800.2738,208192.2198,190279.2055,386409.4493,572319.5253,498864.5531,13124.7341,59427.0056,33661.7112,463431.4037,411755.5369,411054.7912,92323.47102,258074.5334,152014.3526,127554.4481,146620.6391,217855.5875
L-Tyrosinemethylester,77463.10933,59687.26978,58918.52949,17297.55067,36863.02676,1576.685308,6205.036144,11213.93021,2256.919587,40743.51786,16061.76727,17041.93981,8935.540098,3549.259654,4220.544398,62893.64046,228909.61,109884.7319,10461.48277,2234.228093,5356.734296,97436.2231,85229.98553,40584.04132,33016.60889,58819.00267,20341.61926,35193.19416,77225.43756,16979.13352
Methylimidazoleacetaldehyde,117751.0299,63005.30808,28106.30985,7892.02,5432.498491,3101.767762,2903.983305,3095.491118,2343.306096,3978.85078,2573.572964,3034.735192,4180.251338,1623.383344,1763.42895,240157.5191,140430.3766,390162.0999,6922.259951,5000.921598,5414.891925,353060.2949,293643.8377,518876.378,120140.565,10477.42102,14040.88906,5743.20123,6176.65292,4964.082256
